filename,split,buildings
patch-67-102-image.png,test,True
patch-21-124-image.png,test,False
patch-40-143-image.png,train,False
patch-18-171-image.png,test,False
patch-61-49-image.png,train,False
patch-39-84-image.png,train,False
patch-15-198-image.png,train,False
patch-66-60-image.png,train,False
patch-35-58-image.png,test,False
patch-15-54-image.png,val,True
patch-10-236-image.png,test,False
patch-52-39-image.png,val,False
patch-20-115-image.png,train,True
patch-71-112-image.png,train,False
patch-84-63-image.png,val,False
patch-49-126-image.png,val,False
patch-33-83-image.png,train,False
patch-22-89-image.png,train,True
patch-83-79-image.png,train,False
patch-18-196-image.png,train,True
patch-21-219-image.png,train,False
patch-28-114-image.png,train,False
patch-17-123-image.png,train,False
patch-6-401-image.png,val,False
patch-27-47-image.png,train,False
patch-5-86-image.png,train,True
patch-30-52-image.png,val,False
patch-42-32-image.png,train,False
patch-2-407-image.png,val,True
patch-44-43-image.png,train,False
patch-40-36-image.png,train,False
patch-62-98-image.png,train,True
patch-17-53-image.png,train,True
patch-57-52-image.png,train,False
patch-44-85-image.png,train,False
patch-59-126-image.png,train,True
patch-11-434-image.png,test,False
patch-1-5-image.png,val,False
patch-15-400-image.png,train,True
patch-2-247-image.png,val,True
patch-1-167-image.png,test,False
patch-10-430-image.png,val,False
patch-27-414-image.png,train,False
patch-7-190-image.png,test,True
patch-28-210-image.png,train,False
patch-13-248-image.png,train,False
patch-2-32-image.png,train,False
patch-28-106-image.png,train,False
patch-4-391-image.png,train,False
patch-0-419-image.png,test,False
patch-37-404-image.png,train,False
patch-3-407-image.png,test,True
patch-17-418-image.png,train,True
patch-37-70-image.png,train,True
patch-18-157-image.png,train,False
patch-17-415-image.png,train,False
patch-6-49-image.png,val,True
patch-37-102-image.png,test,False
patch-72-107-image.png,train,False
patch-44-125-image.png,train,False
patch-10-14-image.png,train,True
patch-67-84-image.png,train,False
patch-12-388-image.png,train,False
patch-5-68-image.png,train,False
patch-19-141-image.png,train,False
patch-52-109-image.png,train,True
patch-5-396-image.png,val,False
patch-64-61-image.png,test,True
patch-37-163-image.png,test,False
patch-15-79-image.png,train,False
patch-52-155-image.png,train,False
patch-1-406-image.png,train,True
patch-13-76-image.png,train,True
patch-19-104-image.png,train,False
patch-47-427-image.png,val,False
patch-2-159-image.png,train,True
patch-62-36-image.png,train,False
patch-20-212-image.png,train,False
patch-17-143-image.png,train,True
patch-44-422-image.png,train,True
patch-20-162-image.png,train,False
patch-66-104-image.png,train,True
patch-30-140-image.png,train,False
patch-74-75-image.png,train,False
patch-32-134-image.png,train,False
patch-41-62-image.png,train,False
patch-55-124-image.png,train,False
patch-36-145-image.png,train,False
patch-58-74-image.png,val,True
patch-2-236-image.png,train,True
patch-9-396-image.png,train,True
patch-9-38-image.png,test,False
patch-11-166-image.png,train,False
patch-74-99-image.png,train,False
patch-22-50-image.png,val,False
patch-18-47-image.png,train,False
patch-4-249-image.png,train,True
patch-31-162-image.png,train,True
patch-2-36-image.png,test,False
patch-2-376-image.png,train,False
patch-3-263-image.png,test,True
patch-43-410-image.png,train,False
patch-24-392-image.png,train,False
patch-0-203-image.png,train,True
patch-76-89-image.png,test,False
patch-14-221-image.png,val,True
patch-16-197-image.png,train,False
patch-9-160-image.png,train,True
patch-60-88-image.png,train,True
patch-33-404-image.png,train,False
patch-18-130-image.png,test,False
patch-37-48-image.png,train,True
patch-36-127-image.png,train,False
patch-14-151-image.png,train,False
patch-3-165-image.png,test,False
patch-42-77-image.png,train,False
patch-11-21-image.png,train,True
patch-72-99-image.png,test,True
patch-55-128-image.png,train,False
patch-41-156-image.png,train,False
patch-79-53-image.png,test,False
patch-31-414-image.png,train,True
patch-4-437-image.png,train,False
patch-78-70-image.png,train,False
patch-25-150-image.png,test,False
patch-47-410-image.png,train,False
patch-8-232-image.png,train,False
patch-20-128-image.png,train,False
patch-32-424-image.png,train,False
patch-55-45-image.png,train,False
patch-32-82-image.png,test,False
patch-15-427-image.png,test,False
patch-12-226-image.png,train,True
patch-7-122-image.png,train,False
patch-12-200-image.png,train,True
patch-16-49-image.png,train,True
patch-6-328-image.png,train,False
patch-9-22-image.png,val,True
patch-44-98-image.png,train,True
patch-69-73-image.png,train,False
patch-12-72-image.png,train,False
patch-11-23-image.png,test,True
patch-48-80-image.png,test,False
patch-26-402-image.png,test,False
patch-47-53-image.png,train,False
patch-11-406-image.png,test,False
patch-68-65-image.png,test,True
patch-7-177-image.png,val,True
patch-50-144-image.png,train,False
patch-65-106-image.png,train,True
patch-6-118-image.png,val,False
patch-39-77-image.png,test,True
patch-20-110-image.png,val,False
patch-53-124-image.png,train,False
patch-0-3-image.png,train,False
patch-11-184-image.png,test,False
patch-14-174-image.png,val,False
patch-11-246-image.png,test,False
patch-6-153-image.png,test,True
patch-1-333-image.png,test,False
patch-12-255-image.png,test,False
patch-4-328-image.png,train,False
patch-13-404-image.png,train,True
patch-3-217-image.png,train,False
patch-12-386-image.png,train,False
patch-59-111-image.png,train,False
patch-54-93-image.png,train,False
patch-16-171-image.png,val,False
patch-6-57-image.png,test,False
patch-37-418-image.png,test,False
patch-10-222-image.png,val,True
patch-32-420-image.png,test,False
patch-40-30-image.png,test,False
patch-3-406-image.png,val,True
patch-6-60-image.png,test,False
patch-42-146-image.png,test,True
patch-71-86-image.png,train,False
patch-32-138-image.png,test,False
patch-14-109-image.png,train,True
patch-45-418-image.png,train,False
patch-11-232-image.png,train,True
patch-21-211-image.png,test,False
patch-76-76-image.png,train,False
patch-58-63-image.png,train,False
patch-26-429-image.png,train,False
patch-59-106-image.png,train,False
patch-5-184-image.png,train,True
patch-20-226-image.png,train,False
patch-60-40-image.png,test,False
patch-18-402-image.png,test,True
patch-43-413-image.png,val,False
patch-67-116-image.png,train,False
patch-58-114-image.png,train,False
patch-52-118-image.png,val,False
patch-46-121-image.png,train,False
patch-8-230-image.png,train,False
patch-33-73-image.png,train,True
patch-5-398-image.png,val,False
patch-17-65-image.png,train,False
patch-2-62-image.png,train,True
patch-6-5-image.png,train,True
patch-77-61-image.png,train,False
patch-34-128-image.png,train,False
patch-7-231-image.png,val,False
patch-21-423-image.png,val,False
patch-74-71-image.png,train,False
patch-3-41-image.png,train,True
patch-12-266-image.png,test,False
patch-24-397-image.png,test,False
patch-22-158-image.png,train,False
patch-24-207-image.png,train,False
patch-30-211-image.png,test,True
patch-73-51-image.png,val,False
patch-10-103-image.png,val,False
patch-68-48-image.png,train,False
patch-55-46-image.png,train,False
patch-15-138-image.png,train,False
patch-39-102-image.png,train,False
patch-74-58-image.png,test,False
patch-4-198-image.png,train,False
patch-28-405-image.png,train,False
patch-59-64-image.png,train,False
patch-7-118-image.png,val,True
patch-62-50-image.png,val,False
patch-18-386-image.png,test,False
patch-66-125-image.png,train,False
patch-69-91-image.png,train,False
patch-56-126-image.png,train,False
patch-68-115-image.png,train,False
patch-9-135-image.png,train,False
patch-5-113-image.png,val,True
patch-24-390-image.png,train,False
patch-54-120-image.png,train,False
patch-59-90-image.png,train,True
patch-19-409-image.png,train,True
patch-74-59-image.png,val,False
patch-7-8-image.png,train,True
patch-15-255-image.png,train,False
